rank_test_score,param_hidden_layer_sizes,param_alpha,param_activation,mean_train_score,std_train_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,Gap_CV,Coef_Variacion,mean_fit_time,std_fit_time
11,"(64, 64, 32)",0.011787686347935873,tanh,0.9992304862337429,6.081159260145269e-05,0.9729073882885405,0.007746417671996987,0.9707744156438982,0.9792926366991694,0.9814875841713909,0.9594641318123907,0.9735181731158539,0.02632309794520238,0.007962132640007858,54.03530526161194,4.2606392900041685
12,"(100, 50, 25)",0.22758459260747887,tanh,0.998099019036859,0.0002043320142617946,0.9727900766036331,0.0057417539467117225,0.9627405511774625,0.9758410851252024,0.9767954677911976,0.978410625294362,0.9701626536299407,0.0253089424332259,0.005902356618149612,89.96164422035217,15.124632384532655
13,"(64, 64, 32)",0.08483428982440717,tanh,0.9991311257281505,9.19455673562519e-05,0.9727194125089763,0.0029322552722048515,0.9683807944226016,0.9751728111715323,0.9752216068482268,0.9748292434210685,0.9699926066814522,0.026411713219174238,0.0030144923957480824,78.52572631835938,6.428135955580316
14,"(64, 64, 32)",0.0517947467923121,tanh,0.9992132542543406,0.00014535564348090496,0.9726267619509684,0.004203008306448173,0.9682552618449174,0.9714368305862295,0.97795141039908,0.9771847778886795,0.9683055290359356,0.026586492303372178,0.004321296175336015,62.26058897972107,3.967099633639804
15,"(100, 50, 25)",0.13894954943731375,tanh,0.9986543404375666,9.019629016699171e-05,0.9724733834899274,0.004659643555122098,0.9642692778995609,0.9770884869611993,0.9758053528355728,0.9747018771469921,0.9705019226063117,0.026180956947639222,0.004791538395014964,80.13085384368897,5.790050363201236
16,"(100, 50, 25)",0.08483428982440717,tanh,0.9989465498277517,0.00012036650273661306,0.9720940181361083,0.002251741781194611,0.9677041559719868,0.9737117538762262,0.9737290000794435,0.9723942326291561,0.9729309481237289,0.026852531691643367,0.002316382715235814,70.98702778816224,9.419772677875983
17,"(100, 50, 25)",0.03162277660168379,tanh,0.9991396315997102,0.00023866802497617454,0.9717347984194266,0.00885182350136265,0.95439625988535,0.9746794427947278,0.974598973515954,0.9794754283940712,0.97552388750703,0.02740483318028364,0.00910929969345604,58.70519289970398,8.450794773191069
18,"(64, 64, 32)",0.001,tanh,0.9994173502239001,4.582130686380103e-05,0.9715644678623031,0.007055068440009095,0.9588274108865387,0.9794407970048504,0.971288446754194,0.9765131248587625,0.9717525598071696,0.027852882361596998,0.007261554609476506,55.37309365272522,5.567785579200806
19,"(100, 50, 25)",0.6105402296585326,tanh,0.9944606807100598,0.0007167917769708814,0.9710970157240052,0.007991573549295295,0.9567712160039351,0.976282953339801,0.9762027748203957,0.9782617843387162,0.9679663501171778,0.023363664986054578,0.008229428594564412,95.00845456123352,12.885679175379423
20,"(100, 50, 25)",0.0016378937069540646,tanh,0.9991119737913285,0.00022153312350082648,0.9710645638797469,0.007034136060359154,0.9587177476379987,0.9740602507706356,0.9794715054360231,0.9688113203946106,0.9742619951594668,0.02804740991158161,0.007243736742133076,57.59506273269653,5.795010688026275
21,"(64, 64, 32)",0.004393970560760791,tanh,0.9993433673677099,9.301581138337069e-05,0.9710118333892842,0.007873642913652206,0.9673685239172399,0.9817734344962233,0.9770621479709992,0.9590622204118857,0.9697928401500728,0.028331533978425694,0.008108699238164298,53.60377583503723,3.918974193808441
22,"(64, 64, 32)",0.0071968567300115215,tanh,0.9992596825815893,0.00010967184142762337,0.9709342012994245,0.006784489487431593,0.9602792741594632,0.9817008384051913,0.9703931473231154,0.9707528723228379,0.9715448742865148,0.02832548128216472,0.006987589352967222,51.947044944763185,5.471828791374425
