rank_test_score,param_hidden_layer_sizes,param_alpha,param_activation,mean_train_score,std_train_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,Gap_CV,Coef_Variacion,mean_fit_time,std_fit_time
1,"(100, 50, 25)",0.3727593720314938,tanh,0.9970140139390906,0.00027962596346111154,0.9753708749227687,0.008828364088334357,0.9618049495020707,0.9709439780139909,0.9861220328330899,0.974287450260768,0.9836959640039246,0.021643139016321866,0.009051289427760902,90.18996143341064,3.861663177237262
2,"(100, 50, 25)",0.6105402296585326,tanh,0.9949370889964794,0.00047677469647062636,0.9750808662779805,0.008380934000361422,0.968552284351959,0.9644867092529981,0.9855591470289639,0.9727253780252614,0.9840808127307203,0.01985622271849885,0.008595116866924704,91.65236186981201,11.078275909633755
3,"(100, 50, 25)",0.13894954943731375,tanh,0.9986973567360076,0.00018474636260932439,0.9745884581497819,0.00766447281515196,0.9633338557555472,0.9674178105375356,0.9819813947917833,0.9798546406723512,0.9803545889916923,0.02410889858622567,0.007864317241867057,71.98341379165649,5.827878605290385
4,"(100, 50, 25)",0.0517947467923121,tanh,0.9992540879514547,9.503888958767205e-05,0.9734509391425213,0.010460580518000797,0.9600940417372731,0.9619245829841135,0.9854606630686416,0.9777951244720924,0.9819802834504862,0.025803148808933307,0.010745873363905895,63.807140254974364,5.29062026996923
5,"(128, 64, 32)",0.011787686347935873,tanh,0.9990139477282026,0.00016844671665056175,0.9726934844725585,0.008268164084577354,0.9587406050537353,0.9691818504657371,0.9740646167009461,0.9820478077423809,0.9794325423999936,0.026320463255644078,0.008500277031320665,71.82663784027099,5.757579501683864
6,"(100, 50, 25)",0.03162277660168379,tanh,0.9991001036962779,0.0002408294997833692,0.9719051042248654,0.007187276258868517,0.9622441670435924,0.9662607557369792,0.9827361453783466,0.9758409669825788,0.9724434859828301,0.027194999471412462,0.007395039111972426,51.28045258522034,4.964381431214604
7,"(100, 50, 25)",1.0,tanh,0.9918854557908526,0.0003975877954860053,0.9717662593221504,0.006516033902750517,0.9665687337484947,0.966752639977724,0.9731996596797788,0.968423255965773,0.9838870072389813,0.020119196468702194,0.006705351045317972,99.71142969131469,14.389820629757825
8,"(100, 50, 25)",0.0071968567300115215,tanh,0.9991500511910114,6.387791562321242e-05,0.9717358855946966,0.011666695364469265,0.9630873164758693,0.9547808664575536,0.9875254581125883,0.9734164070511472,0.9798693798763244,0.02741416559631482,0.012006035320316813,48.87091355323791,7.948208705842624
9,"(100, 50, 25)",0.22758459260747887,tanh,0.9980585139607834,0.00012009654588662338,0.971580034596246,0.00788790274375735,0.9649327249123119,0.9607266271307385,0.977214311437158,0.9726676077085548,0.9823589017924667,0.0264784793645374,0.008118634042367163,80.37645998001099,13.930756939650562
10,"(100, 50, 25)",0.011787686347935873,tanh,0.9992180153626011,3.2589497236449595e-05,0.9715389642514726,0.011130892203223539,0.9603913504402656,0.9575646016065705,0.9876124634657635,0.9766274962332335,0.9754989095115301,0.02767905111112856,0.011456969419440006,49.79564299583435,2.7928260132180514
11,"(100, 50, 25)",0.001,tanh,0.999199492974415,0.00015445303860021136,0.9715234184106706,0.008452683877055308,0.9639341819627426,0.9588283870930563,0.9788377396754699,0.9773488683753924,0.9786679149466915,0.027676074563744435,0.008700442744739162,51.579836797714236,3.842254950594554
12,"(100, 50, 25)",0.004393970560760791,tanh,0.9991813404530209,0.0001928232534743061,0.9712539823628982,0.013843680133981136,0.9609839919739009,0.9501175885992251,0.9871620380883355,0.9749502324795967,0.9830560606734321,0.0279273580901227,0.014253408876946668,49.43840293884277,3.0598961082423384
13,"(128, 64, 32)",0.0517947467923121,tanh,0.9991107635156776,8.893645457755196e-05,0.9707116263467281,0.012504640471254963,0.9509699309023596,0.9610539533258701,0.9778980872086863,0.9823044583780399,0.9813317019186844,0.028399137168949484,0.012881931288199524,89.7882408618927,12.238525257743504
14,"(128, 64, 32)",0.03162277660168379,tanh,0.9990842120308423,9.971245055980374e-05,0.9705337457125468,0.01093664858528516,0.9526875330542993,0.9629682138308728,0.9786735837293593,0.9773108697615819,0.9810285281866206,0.028550466318295498,0.011268694812106392,77.34223160743713,3.155734705446737
15,"(100, 50, 25)",0.0016378937069540646,tanh,0.9991883316218912,0.00010083608658915468,0.9701132858901966,0.011168078672601214,0.9658532680570812,0.9502505851207512,0.9783586822220901,0.9809609013461363,0.9751429927049242,0.029075045731694615,0.01151213866981849,52.797517156600954,7.11613854098156
16,"(100, 50, 25)",0.019306977288832496,tanh,0.9991817693196708,9.713527824852255e-05,0.9700262498502609,0.008065863663924948,0.9601264438340038,0.9605720562550155,0.9790389590809216,0.973931435345086,0.9764623547362766,0.029155519469409974,0.008315098344163411,50.70406203269958,6.173992002106248
17,"(128, 64, 32)",0.0026826957952797246,tanh,0.999186612851975,6.964482432040889e-05,0.9699177175169769,0.009187789767718576,0.9554074962225831,0.962637574665142,0.9771103773145339,0.9768633268325259,0.9775698125500993,0.029268895334998102,0.00947275176211817,97.5143651008606,3.9045320142337654
18,"(64, 64, 32)",0.6105402296585326,tanh,0.9946104119285426,0.0005607229491821528,0.9696844709524364,0.007908470399592624,0.9574199096143758,0.9655233821558432,0.9776194893164626,0.969135234452576,0.978724339222924,0.02492594097610623,0.008155715221287213,106.89323272705079,13.854159815732368
19,"(100, 50, 25)",0.08483428982440717,tanh,0.9989973899294178,0.0001071056156796116,0.9694732108750308,0.007363107023426026,0.9636615067463387,0.9589750820509357,0.9718948732204533,0.9728969963633207,0.9799375959941056,0.02952417905438698,0.007594956663918753,72.12748007774353,5.923740911046261
20,"(128, 64, 32)",0.019306977288832496,tanh,0.9990528479207453,3.9776904185007554e-05,0.9694302178949027,0.00964046290933079,0.9522780214869548,0.9675782608213257,0.9755904491277799,0.9710234410523995,0.9806809169860535,0.029622630025842644,0.009944462975648575,74.92840585708618,4.5758205889906005
21,"(128, 64, 32)",0.001,tanh,0.9991307406157528,0.00018100293362306036,0.9694042114788048,0.00801703348596434,0.9560181402558161,0.9647515141817409,0.9725919438437584,0.9770434578648742,0.976616001247835,0.029726529136947955,0.008270062571457711,73.90016479492188,5.421483448555293
22,"(64, 64, 32)",1.0,tanh,0.9919100576552105,0.001281991988452036,0.969312614890482,0.009168112853949834,0.9550617985717863,0.9677097987295652,0.9781576190084477,0.9653395582928761,0.9802942998497354,0.022597442764728415,0.009458365354076913,114.95626177787781,26.909999373384707
23,"(128, 64, 32)",0.0071968567300115215,tanh,0.9990302076883525,0.0001444550273344708,0.9690484593885685,0.008612219786797175,0.9574224615926398,0.9648160908017869,0.9742705571208595,0.9661830898936641,0.9825500975338922,0.02998174829978395,0.00888729526718524,70.61442308425903,5.775589693969866
24,"(128, 64, 32)",0.13894954943731375,tanh,0.9984321882912773,0.00013140016834459114,0.9689845750705042,0.009184751523446666,0.9540995723058414,0.9622864931205946,0.9762524419009211,0.9763496374115173,0.9759347306136466,0.02944761322077316,0.009478738629846998,109.30467643737794,9.719807332079549
