rank_test_score,param_max_depth,param_learning_rate,param_n_estimators,param_subsample,param_colsample_bytree,param_min_child_weight,param_gamma,param_reg_alpha,param_reg_lambda,mean_train_score,std_train_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,Gap_CV,Coef_Variacion,mean_fit_time,std_fit_time
14,11,0.05,500,0.8,0.8,7,0.0,0.5,5,0.9945791928864821,0.0001209735963313323,0.8977679924220793,0.012392261141088675,0.8984265541502418,0.88665349658455,0.8876103906502162,0.8952638440185506,0.9208856767068379,0.09681120046440284,0.013803411622701895,3.384310007095337,0.04099850636159156
15,11,0.05,700,0.8,0.8,5,0.0,0.5,1,0.9977387963273593,3.5807724917173494e-05,0.8977656483853627,0.011481824797845645,0.8988504633900231,0.8901899220915728,0.8868620090563574,0.8936095485589083,0.9193162988299519,0.09997314794199663,0.012789334074539142,4.59793119430542,0.030014904834045838
16,11,0.05,500,0.8,0.8,7,0.0,0.5,10,0.9924523000203566,0.00013785503713639055,0.8977121325188948,0.01240117665943787,0.9008469131554476,0.8879276501598417,0.8864697623908003,0.8929299317699411,0.9203864051184434,0.09474016750146175,0.013814201914194196,3.376017141342163,0.07241068224787899
17,11,0.03,500,0.8,0.8,5,0.0,0.5,5,0.99095571583087,0.0002692903266443942,0.8976119703357753,0.012490471631716885,0.8984524370858025,0.8894719807358215,0.8858010777593106,0.8931851821161481,0.9211491739817937,0.09334374549509472,0.013915223999346284,3.783490037918091,0.046491436787403834
18,11,0.07,700,0.8,0.8,5,0.0,0.5,10,0.9973406775582669,5.491055375928342e-05,0.8976092658263006,0.01179025888193426,0.8982429733105078,0.8891538814570961,0.8878469960472065,0.892740045741847,0.9200624325748454,0.09973141173196631,0.013135179560652879,4.667890930175782,0.045249800954052954
19,11,0.07,400,0.8,0.8,5,0.0,0.5,5,0.9961545694877442,8.303878937677982e-05,0.8975893766034815,0.012971626230750832,0.8984058437195792,0.8892446330820167,0.8841763155857711,0.8944249057858038,0.9216951848442367,0.09856519288426269,0.014451626287998247,2.9232096672058105,0.024015054849661828
20,11,0.05,500,0.8,0.8,5,0.0,0.5,5,0.9955652055032035,8.210934414607257e-05,0.8975893205296364,0.013126271737022625,0.8999776267741191,0.8872900812704415,0.885959915594102,0.89280680504835,0.9219121739611695,0.09797588497356713,0.014623917015052348,3.7848748207092284,0.06612451244745988
21,11,0.07,500,0.8,0.8,5,0.0,0.5,10,0.9960352665380178,9.019942770159695e-05,0.8974073135291402,0.011938370154506887,0.8979708711033297,0.8888017745322856,0.8872699951082529,0.8928910490201079,0.9201028778817243,0.09862795300887761,0.013303179029774232,3.627587413787842,0.06044542206875412
22,11,0.05,500,0.8,0.8,5,0.0,0.5,1,0.9969141911249425,5.6203663339499015e-05,0.8973849231872688,0.011605518526074877,0.8983506818913931,0.8897200843061315,0.8863079702280017,0.893368186901246,0.9191776926095722,0.0995292679376737,0.012932598070463687,3.5928547859191893,0.037987650493980556
23,11,0.05,500,0.8,0.8,9,0.0,0.5,10,0.9911479855997614,0.00019443372820331128,0.8973737138924098,0.012608136728818735,0.8988743704066948,0.8867996619078036,0.886594455635621,0.8937444759402687,0.9208556055716615,0.09377427170735153,0.014050040171257324,3.10910325050354,0.0401619902313919
24,11,0.03,500,0.8,0.8,5,0.0,0.5,1,0.9943221154732305,0.0001469787252358661,0.8973628329862862,0.012460904273608901,0.8996366086889056,0.8881330117642269,0.8850005737386845,0.893857884230684,0.9201860865089309,0.0969592824869443,0.013886138154553291,3.803741693496704,0.040530606195670504
25,11,0.05,400,0.8,0.8,7,0.0,0.5,5,0.9925510049343098,0.00017586345918006157,0.8973302739446716,0.012607975991446807,0.8976289255052378,0.8859724812178793,0.887250516447265,0.8948481215536558,0.9209513249993208,0.09522073098963824,0.014050541208224299,2.738594579696655,0.04071957919186625
26,11,0.07,700,0.8,0.8,9,0.0,0.5,5,0.9972419936686767,6.972256806400071e-05,0.8972762831916337,0.012179366277649843,0.9000897922160036,0.8873391818169853,0.8855652872480457,0.8940344953462763,0.9193526593308573,0.09996571047704306,0.013573708015916279,4.041272401809692,0.022233778950826906
27,11,0.05,400,0.8,0.8,5,0.0,0.5,5,0.9939677002945999,0.00012722662544743747,0.8971559707027632,0.013324719661556973,0.8994043240386435,0.8868086013134411,0.885307501024963,0.8923601452421169,0.9218992818946518,0.0968117295918367,0.014852177432558811,3.02524356842041,0.03977199515171944
28,11,0.07,700,0.8,0.8,7,0.0,0.5,10,0.9969674634177185,6.704809049400876e-05,0.8971263132255327,0.01230384594392408,0.9000163962307219,0.8852608335885495,0.8879018041933131,0.8928645467016423,0.9195879854134372,0.09984115019218576,0.013714730871828703,4.412487411499024,0.05754034788204873
29,11,0.07,400,0.8,0.8,5,0.0,0.5,10,0.9946036619972395,0.00013621346170325778,0.8971078244736994,0.01204799863414721,0.8977171846847573,0.8884772401472385,0.8867922688744296,0.8925579123718781,0.9199945162901932,0.09749583752354007,0.01342982226380127,2.9998324871063233,0.0318737885682054
30,11,0.07,500,0.8,0.8,7,0.0,0.5,10,0.9953314546234904,0.00011257105345686702,0.8970554561313723,0.012431111994997137,0.8999315389240672,0.8849685521355775,0.8875689575829191,0.8931092092930891,0.9196990227212085,0.0982759984921181,0.013857685062869314,3.3379163265228273,0.04405064192121921
31,11,0.07,500,0.8,0.8,9,0.0,0.5,5,0.9958764915640648,0.00013378549740565473,0.8970267808349538,0.012287043608612982,0.8994506803126437,0.8870779842386144,0.8852814069492292,0.8938873736682229,0.9194364590060593,0.09884971072911097,0.01369752149113785,3.0513508796691893,0.024986053736336368
32,11,0.05,400,0.8,0.8,7,0.0,0.5,10,0.9895729171262051,0.00013803186234650523,0.8970215953160849,0.012671533226654262,0.9001645289556689,0.8869591052285826,0.8855724286233817,0.8922074101746581,0.9202045035981332,0.09255132181012016,0.014126229839750037,2.6995201587677,0.042734986106927525
33,11,0.05,400,0.8,0.8,5,0.0,0.5,1,0.9960578321126409,8.790718958331134e-05,0.897011990843213,0.01173094477914885,0.8979661564143915,0.8891185075020472,0.8857680872571756,0.8931978338460821,0.9190093691963679,0.09904584126942784,0.013077801522052651,3.004799556732178,0.02251524030506303
34,11,0.03,500,0.8,0.8,5,0.0,0.5,10,0.986967218978403,0.00023330036347726083,0.8970003679577211,0.01279633108717644,0.8982867898613448,0.8887831518821797,0.8855593868499896,0.8911879921489582,0.9211845190461337,0.08996685102068191,0.014265692127095737,3.7693182468414306,0.06175599226290127
35,11,0.03,700,0.8,0.8,7,0.0,0.5,1,0.9952591019697495,0.0001219940202809944,0.8969946443871164,0.013029999435932499,0.9002376957594563,0.8872435641222886,0.8827402407803484,0.894636626865839,0.9201150944076494,0.09826445758263314,0.014526284540790564,4.700051736831665,0.0480363163012867
36,11,0.05,700,0.8,0.8,7,0.0,0.5,1,0.9973285522892562,5.2450127603919314e-05,0.8968702564309972,0.011853254366143587,0.9008575507706418,0.8851634150551179,0.885920630588574,0.8949047050367451,0.9175049807039076,0.10045829585825905,0.013216242016222493,4.411525440216065,0.03628832062355288
37,11,0.03,700,0.8,0.8,5,0.0,0.1,5,0.9967047854990044,0.0002744385287662428,0.8968521583418948,0.012461629612984526,0.9005624231623265,0.8883492204697807,0.8835509463968606,0.8926745314858775,0.9191236701946286,0.09985262715710963,0.013894853791759454,5.4440836906433105,0.1695378796339351
38,9,0.05,700,0.8,0.8,5,0.0,0.5,1,0.9967694363955246,5.3575253770044456e-05,0.8968505961099806,0.01183803781532224,0.8988235597633897,0.8884626367935082,0.8870028302531422,0.890888928033452,0.9190750257064115,0.09991884028554399,0.01319956508549897,3.6177034854888914,0.0298868883869704
39,11,0.07,700,0.8,0.8,5,0.0,0.5,1,0.9982415386294734,2.1259744499596003e-05,0.8968496891619105,0.012742308208699047,0.8995841143564287,0.8881350292811941,0.8833496066356541,0.8932403888487335,0.9199393066875426,0.10139184946756286,0.014207852623115138,4.216009283065796,0.04915414306559595
40,11,0.03,700,0.8,0.8,7,0.0,0.5,5,0.9930804099187727,0.00018721312331092932,0.8968379159648414,0.012866580895830745,0.898798270398955,0.8882006057666196,0.8845504951672543,0.8918547334634851,0.9207854750278927,0.09624249395393125,0.014346606746647799,4.6867790699005125,0.03668100892289771
41,11,0.07,400,0.8,0.8,9,0.0,0.5,5,0.9944041515773338,0.00019238059762559704,0.8968338114540663,0.012481498415681438,0.8991641253287904,0.8866875243373443,0.884988313525223,0.8936845824206895,0.9196445116582842,0.09757034012326748,0.01391729243062856,2.5169896125793456,0.04791450954566461
42,11,0.07,400,0.8,0.8,7,0.0,0.5,10,0.9936001159053317,0.00016487723236977947,0.896788845426633,0.01259328509380195,0.899825700916176,0.8844585017805688,0.8871216847224168,0.8928809813521432,0.9196573583618599,0.09681127047869875,0.014042642432523674,2.7151050090789797,0.03147233760126065
43,11,0.03,700,0.8,0.8,9,0.0,0.5,10,0.9887045822561294,0.00022372233954398975,0.896776782884476,0.012267907998252352,0.8977073343051878,0.8871482466447822,0.8866170302598971,0.8924596432208292,0.9199516599916834,0.09192779937165341,0.013680001793526271,4.236876678466797,0.05087594172120067
44,11,0.05,400,0.8,0.8,9,0.0,0.5,10,0.9878509813204491,0.00019566232385524293,0.896772241050362,0.012802193234795502,0.8984280676816951,0.8860267258038418,0.8857846966241029,0.8930449736085548,0.9205767415336155,0.09107874027008711,0.014275858070495896,2.519127702713013,0.021494515139345992
45,11,0.07,500,0.8,0.8,5,0.0,0.5,1,0.9977253110651254,2.889824911997308e-05,0.8967146205524292,0.012817291192371415,0.8993084921499618,0.8878654018683731,0.8832233283673186,0.893182753127234,0.9199931272492579,0.10101069051269618,0.014293612369646885,3.3703734397888185,0.02477500898777596
46,11,0.07,700,0.8,0.8,9,0.0,0.5,10,0.9965280116110087,6.686926967273155e-05,0.8967009300668458,0.011763067380740684,0.8985505300697618,0.8874894435830324,0.8861253875726623,0.8928077145001011,0.9185315746086714,0.09982708154416287,0.013118161235612625,4.12383508682251,0.023630709466777193
47,11,0.05,700,0.8,0.8,5,0.0,0.1,10,0.998322082040192,0.00011287819839207338,0.8966343399321884,0.01300534252824501,0.9004689787153469,0.8850494916407656,0.8848132641914744,0.8929009945761337,0.9199389705372213,0.10168774210800358,0.0145046223962698,5.518204545974731,0.15255138855911735
48,9,0.05,700,0.8,0.8,5,0.0,0.5,10,0.9938476185884312,0.0001082496024862609,0.8966154722223122,0.011907172953635824,0.8971390393115373,0.8868905238505801,0.8865036241533731,0.8935185538571655,0.9190256199389052,0.09723214636611899,0.013280133259493305,3.6614290714263915,0.042559416390665655
49,11,0.03,700,0.8,0.8,9,0.0,0.5,5,0.9915448483992716,0.0001675005054752842,0.8966112509878471,0.012413036968669433,0.8990009193783673,0.8870440607283949,0.8844474692560476,0.8932785341680463,0.9192852714083795,0.09493359741142449,0.013844391262091894,4.266494464874268,0.06457429332405452
50,9,0.05,700,0.8,0.8,5,0.0,0.5,5,0.9955409966555845,7.074981022481378e-05,0.8965965058441924,0.012612181615253647,0.8968861246984225,0.8874819942386765,0.8853492825734972,0.8927719637149993,0.9204931639953662,0.09894449081139212,0.014066730723402296,3.654167652130127,0.022451291384502258
51,11,0.07,400,0.8,0.8,5,0.0,0.5,1,0.99722966874055,4.450124222777392e-05,0.8965742627629764,0.012885217141640051,0.8990599219071327,0.887658339706802,0.883014673129367,0.8931376534138152,0.9200007256577647,0.10065540597757361,0.014371611674343214,2.8471404552459716,0.032647364918556625
52,11,0.03,700,0.8,0.8,5,0.0,0.1,10,0.9942167741495712,0.00024522616331300106,0.896564601234056,0.012667077939481932,0.8992605244294378,0.8883403064765399,0.8848444463133255,0.8903354233386729,0.9200423056123037,0.0976521729155152,0.014128460929693878,5.435855484008789,0.10418371000150443
