rank_test_score,param_max_depth,param_learning_rate,param_n_estimators,param_subsample,param_colsample_bytree,param_min_child_weight,param_gamma,param_reg_alpha,param_reg_lambda,mean_train_score,std_train_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,Gap_CV,Coef_Variacion,mean_fit_time,std_fit_time
27,11,0.05,500,0.8,0.8,9,0.0,0.5,10,0.992938340753649,0.0002230667589243862,0.8968826446095564,0.007796064568626959,0.8882814405965139,0.8929977964560366,0.9103121841498946,0.9005353852336687,0.8922864166116681,0.0960556961440926,0.008692402083464166,4.297319793701172,0.272662180189336
28,11,0.03,700,0.8,0.8,5,0.0,0.5,10,0.9934312139177118,0.00016861647292424738,0.896829730179881,0.008008165744158021,0.8873228016634357,0.8952018504210905,0.9110285672779845,0.8985627425180679,0.8920326890188256,0.09660148373783084,0.008929416002468818,6.267874336242675,0.06061069814582922
29,11,0.05,700,0.8,0.8,5,0.0,0.0,10,0.9991644768084674,3.941932378348293e-05,0.8968297038079989,0.008523986303111953,0.8889913996477967,0.8942965628215077,0.9125276892663237,0.8983391506218225,0.8899937166825445,0.10233477300046856,0.009504576250004362,8.651223993301391,0.5221718297876038
30,11,0.03,700,0.8,0.8,9,0.0,0.5,5,0.993249275342429,0.0002282955752610437,0.8968041511840456,0.0076447430326924085,0.8875861453627487,0.8957702270840574,0.9100104467038287,0.8990282837194344,0.891625653050158,0.09644512415838347,0.008524428686686047,5.144050168991089,0.05916490285430992
31,11,0.03,700,0.8,0.8,5,0.0,0.0,10,0.995974115000448,9.02945218768858e-05,0.8967853825768725,0.007354305004788517,0.8882653765177239,0.8948160216481593,0.9098678741620019,0.8986070241793934,0.8923706163770835,0.09918873242357551,0.008200741389936856,6.703328466415405,0.08850017566341639
32,11,0.03,700,0.8,0.8,7,0.0,0.5,10,0.9921791102367727,0.0001986175509844352,0.8967688615455769,0.008290024291134582,0.8853325277668999,0.8964342437506865,0.9100555115314897,0.9001965275815988,0.8918254970972092,0.09541024869119585,0.009244326656087015,5.637785387039185,0.07623357314161122
33,11,0.05,700,0.8,0.8,5,0.0,0.5,5,0.9977720827331117,5.682395380196386e-05,0.8967199877603772,0.007876654396681249,0.886989313006551,0.8958520508748261,0.9105242352608023,0.8982053551490922,0.8920289845106139,0.10105209497273449,0.008783850593487673,6.357872772216797,0.482480970691679
34,9,0.05,700,0.8,0.8,7,0.0,0.5,10,0.9944201877669794,0.00021855965058475182,0.8967170024445352,0.008123555924599079,0.8862320097673184,0.8935296372364593,0.9100141522830651,0.9009655085550153,0.8928437043808177,0.09770318532244415,0.009059219243589113,4.8962297439575195,0.06335967924253535
35,11,0.03,700,0.8,0.8,5,0.0,0.5,1,0.9970829532484726,6.706063404889693e-05,0.8967078971193212,0.007560801830946062,0.888921278947365,0.8969964766667845,0.9104902970517881,0.8963417545144339,0.8907896784162352,0.10037505612915143,0.00843173329379074,6.113433074951172,0.03811270665238504
36,11,0.05,500,0.8,0.8,5,0.0,0.0,10,0.997467417480198,8.443274385929359e-05,0.896676445787214,0.008551418504895658,0.8887424560425106,0.8942088519737894,0.9124539227015984,0.8980638940138405,0.8899131042043316,0.10079097169298401,0.009536793951789557,7.4790740489959715,0.508324745356755
