0.5,0.5,1.63616841364903,17.5219101440232,40.4086577368479,1.10895574279013e-06,4.47973803769729e-09,9.23109928392671e-10,1.11435859075622e-06,1.11435859075622e-05
0.5,0.58,1.52083047875488,36.2386307631909,12.4343343814054,1.04678160095517e-06,5.1682560245746e-09,8.11297710904759e-10,1.05276115469065e-06,1.05276115469065e-05
0.5,0.66,1.82523094647757,60.615097924335,58.9678464847271,7.41110797175537e-07,2.21072852776011e-09,1.27447970198571e-09,7.44596005405283e-07,7.44596005405283e-06
0.5,0.74,1.7626646826265,149.766290587587,49.749322961604,9.47272048822112e-09,1.96905444570525e-09,1.19946193151796e-09,1.26412368654443e-08,1.26412368654443e-07
0.5,0.82,1.82849769179422,140.731574497487,21.7440025341671,5.94957035415788e-07,2.36367750366991e-09,9.55867319375857e-10,5.98276580238834e-07,5.98276580238834e-06
0.5,0.9,1.51677533244799,40.6293484175938,7.8421471241317,1.15232202202442e-06,3.58301642258012e-09,8.72646678656559e-10,1.15677768512566e-06,1.15677768512566e-05
0.5,0.98,1.78466908214526,77.6652186424551,53.5412062108066,6.33548699946473e-07,1.61065878036353e-09,1.49799524116991e-09,6.36657353968007e-07,6.36657353968007e-06
0.5,1.06,1.86560694452281,148.371736267127,24.8724208929003,5.38431330965317e-07,2.36238144495917e-09,1.05316085821844e-09,5.41846873268494e-07,5.41846873268494e-06
0.5,1.14,1.6447020114517,14.2080486146836,81.33081932205,1.06320637893731e-06,2.76844747589998e-09,7.1221759267203e-10,1.06668704400588e-06,1.06668704400588e-05
0.5,1.22,1.65717125888017,82.0593876267774,50.8189511119849,6.15550021620948e-07,1.49467900423122e-09,1.27972413910285e-09,6.18324424764282e-07,6.18324424764282e-06
0.5,1.3,1.85213483887059,141.148888517723,24.8013864044843,5.84005450998681e-07,1.38554215205563e-09,7.58190894072088e-10,5.86149184044809e-07,5.86149184044809e-06
0.5,1.38,1.5787052418207,105.494055611839,57.0414585129877,1.32034062155784e-07,1.2103782190351e-09,1.5541790108547e-09,1.34798619385673e-07,1.34798619385673e-06
0.5,1.46,1.75765229625738,163.879756796668,57.6758093059498,3.42471134950895e-07,1.35277732683975e-09,8.7889979510842e-10,3.44702812072843e-07,3.44702812072843e-06
0.5,1.54,1.776264269689,118.365741858453,2.84759549419359,1.15322208604773e-06,2.49959913263883e-09,1.09008961438137e-09,1.15681177479475e-06,1.15681177479475e-05
0.5,1.62,1.87744168374843,82.9020121117394,64.3929895288297,1.85006840847102e-07,1.05996030565947e-09,1.07559254333411e-09,1.87142393696095e-07,1.87142393696095e-06
0.5,1.7,1.62427335223026,173.112642077488,61.7591908222515,4.14930669934144e-07,1.60207740137481e-09,6.60934388475824e-10,4.17193681723994e-07,4.17193681723994e-06
0.5,1.78,1.54138229205933,156.555988193597,83.1163780420478,1.04207606987927e-06,1.50293046014143e-09,1.10814298281664e-09,1.04468714332223e-06,1.04468714332223e-05
0.5,1.86,1.58077083545668,7.41032011576492,19.1929130515313,1.5243520268271e-06,2.17598869710522e-09,6.36279645208752e-10,1.52716429516942e-06,1.52716429516942e-05
0.5,1.94,1.80007322571684,139.459964595203,89.1184599651002,1.26771008890358e-06,2.40617030375119e-09,1.04327966246604e-09,1.2711595388698e-06,1.2711595388698e-05
0.5,2.02,1.67042373510216,152.071761397437,16.0256456457097,8.44661503185407e-07,1.37202992549147e-09,8.51544438714627e-10,8.46885077549613e-07,8.46885077549613e-06
0.5,2.1,1.69895773156867,42.5755950658385,21.5190311865354,1.27617402312374e-06,2.33866625562206e-09,8.75312437425846e-10,1.27938800181679e-06,1.27938800181679e-05
0.5,2.18,1.85514735175771,53.7064927326579,62.5300094027461,6.04016457850243e-07,1.04819282795051e-09,1.00667947506611e-09,6.06071330153259e-07,6.06071330153259e-06
0.5,2.26,1.68044651579357,53.3870976604962,57.299381110856,6.91647022654784e-07,1.03761466670419e-09,7.73718202803418e-10,6.93458355524292e-07,6.93458355524292e-06
0.5,2.34,1.71960931333869,120.557262369177,13.7971458663398,8.78482781185852e-07,9.0850813184812e-10,1.24072284931803e-09,8.80632012167018e-07,8.80632012167018e-06
0.5,2.42,1.55342483129959,21.7207090337608,1.02420789192639,1.23441738253405e-06,1.55183511385131e-09,6.83760237788417e-10,1.23665297788569e-06,1.23665297788569e-05
0.5,2.5,1.68600812612383,63.6285570967386,56.2969293972107,4.20409684176448e-07,8.38949493275874e-10,1.07132110782636e-09,4.2231995477755e-07,4.2231995477755e-06
0.5,2.58,1.68922838960995,80.3565649140218,27.7795415234943,7.20848038149313e-07,7.51576762184411e-10,9.38904560034748e-10,7.22538519471532e-07,7.22538519471532e-06
0.5,2.66,1.66797052378638,74.4756901027263,36.6204098858167,5.86402857938317e-07,1.0839940185046e-09,8.52059958983028e-10,5.88338911915805e-07,5.88338911915805e-06
0.5,2.74,1.79590506377741,60.638415418479,82.7990156344067,1.58060412702721e-07,1.24210594857948e-09,1.00565003545746e-09,1.60308168686758e-07,1.60308168686758e-06
0.5,2.82,1.51560052415267,76.4986122983604,16.5063240929275,9.16540825457446e-07,1.22063586015455e-09,6.50119360245181e-10,9.18411580677846e-07,9.18411580677846e-06
0.5,2.9,1.64624987417798,115.507985208962,45.9429419888536,1.34403817159123e-07,5.93523758829148e-10,8.0259075377354e-10,1.35799931671726e-07,1.35799931671726e-06
